dataset,ratio,method,n_seeds,training_seeds,best_balanced_accuracy_mean,best_balanced_accuracy_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,accuracy_mean,accuracy_std,worst_class_recall_mean,worst_class_recall_std,class_cvar20_mean,class_cvar20_std
tissuemnist,0.02,forgetting,5,"42,43,44,45,46",0.41460570181065054,0.0026785630025873276,0.40139259072834466,0.0049944410544632695,0.3654187817258883,0.011571790348282403,0.3045122269233073,0.012104879680691714,0.3103009652021657,0.01147860851022714
tissuemnist,0.02,fps,5,"42,43,44,45,46",0.3695905666681083,0.010110508784044252,0.3495131181248634,0.011165037866482598,0.3485067681895093,0.017384735673306353,0.2615893998119002,0.026167177220294272,0.2743813467949258,0.017631970716318255
tissuemnist,0.02,graph_a2,5,"42,43,44,45,46",0.4304278097083065,0.009674085379938602,0.38151405751188305,0.04587955234841203,0.3822504230118443,0.048193413337273755,0.2761137119504222,0.0581338242805701,0.29963259276558646,0.05770191875875542
tissuemnist,0.02,herding,5,"42,43,44,45,46",0.4498316317381397,0.010975203938505282,0.4362936111097186,0.01023940769961927,0.4465482233502538,0.015938226607432417,0.3400179293912264,0.009192780653799597,0.35669704250461554,0.008882893530515546
tissuemnist,0.02,random,5,"42,43,44,45,46",0.4460027228483473,0.0058942065395535875,0.42282243411122705,0.02929881823979477,0.42957698815566836,0.038774367815608765,0.28849704274866356,0.0686011217104493,0.3140095528324373,0.0607233839659685
tissuemnist,0.05,el2n,5,"42,43,44,45,46",0.19545342879334812,0.01465144511584055,0.17209306589797685,0.005554685557497864,0.13915397631133672,0.004664422538519559,0.0725444274453261,0.006401018204502583,0.08074160782300013,0.006156467056903878
tissuemnist,0.05,eva,5,"42,43,44,45,46",0.47177958460764563,0.0028915578148175918,0.44397991408025195,0.005350128847887431,0.4080118443316413,0.007510283137075172,0.2750968095460011,0.013840992388320282,0.2867858988054017,0.010491570487457243
tissuemnist,0.05,facility,5,"42,43,44,45,46",0.4831267474850484,0.002836349207438931,0.4447334182017977,0.007546168833514069,0.47269035532994924,0.004805082200263134,0.3084639498432602,0.017045137422899197,0.335402213585906,0.018193891044826833
tissuemnist,0.05,forgetting,5,"42,43,44,45,46",0.4459013706163511,0.0018185813050241343,0.42177195892928665,0.004855540931351793,0.3745642978003384,0.013226094606818147,0.3258631964898701,0.02567357691487928,0.33977312577099744,0.01815759182352061
tissuemnist,0.05,fps,5,"42,43,44,45,46",0.4218222270527694,0.01109816499218972,0.3785964458414214,0.005430103816522164,0.3750761421319797,0.007129437658785209,0.32079125879279274,0.016385237679797236,0.32704645179766567,0.010776967575036702
tissuemnist,0.05,graph_a2,3,"42,43,44",0.48201843774843833,0.005368504713510237,0.44542955898314696,0.00384856187551767,0.4442258883248731,0.006742130724864212,0.36075169218454883,0.012726583585379026,0.36472820770314707,0.012622543054488277
tissuemnist,0.05,herding,5,"42,43,44,45,46",0.4911202411052932,0.00888728009468779,0.45384491920752745,0.00491315822530544,0.4698942470389171,0.008142436859862061,0.35467980295566504,0.013292272350788916,0.3740243290564201,0.011380407070313452
tissuemnist,0.05,random,5,"42,43,44,45,46",0.4935246834080782,0.004931325115012895,0.45616891710669,0.011751316433324034,0.4697208121827411,0.008763489528448005,0.3696372592924317,0.03711924444555371,0.38427484325595945,0.030330760678705368
